"lat","name"
400.934620387852,"AF249S0F"
400.934389885515,"AF250S0W"
400.934420060366,"AF251S0W"
400.934590213001,"AF252S0F"
400.934629607946,"AF253S2W"
400.933969952166,"AF255S5F"
400.934030301869,"AF256S2W"
400.934089813381,"AF257S5W"
400.934150163084,"AF258S5F"
400.934170279652,"AF259S2W"
400.934119988233,"AF260S2F"
400.930769741535,"AF261S1F"
400.930619705468,"AF262S2W"
400.930229946971,"AF263S0F"
400.929789897054,"AF263S2F"
400.921060144901,"AF264S2W"
400.920770131052,"AF265S4W"
400.903260335326,"AF266Y1F"
