"lat","name"
400.811750069261,"AF171S2F"
400.80945007503,"AF172S1W"
400.810220371932,"AF173S2W"
400.810379628092,"AF174S2W"
400.80514010042,"AF175S0W"
400.805659778416,"AF176S2W"
400.805689953268,"AF177S3W"
400.805700011551,"AF178S3W"
400.806059595197,"AF179S2W"
400.819899793714,"AF180S0W"
400.824639759958,"AF181S3W"
400.822179671377,"AF182S2W"
400.821649935097,"AF183S2W"
400.819039810449,"AF184S2W"
400.819000415504,"AF185S4W"
400.817550346255,"AF186S3W"
400.817569624633,"AF187S2F"
400.81751011312,"AF188S2W"
400.817260332406,"AF189S0W"
400.809870008379,"AF191S2W"
400.810289941728,"AF192S0F"
400.81129996106,"AF193S0F"
400.819749757648,"AF194S2W"
400.819650013,"AF195S0W"
400.819660071284,"AF196S2F"
400.820380076766,"AF197S4W"
400.821159593761,"AF198S2W"
400.821899715811,"AF199S2W"
400.82240011543,"AF200S2W"
400.822410173714,"AF201S2W"
400.816159788519,"AF202S2W"
400.814770068973,"AF203S3F"
400.814490113407,"AF204S1F"
400.809490308166,"AF207S2W"
400.811030063778,"AF208S2W"
400.816419627517,"AF209S0W"
400.818779971451,"AF210S0W"
