"lat","name"
396.939829643816,"AF311S2F"
396.938409749418,"AF312S3F"
396.938320063055,"AF313S3F"
396.933219674975,"AF314S0F"
396.941309887916,"AF315S0F"
396.924560330808,"AF316S2W"
396.926329750568,"AF317S1F"
396.928469650447,"AF318S0F"
396.928820014,"AF319S1W"
396.943100262433,"AF320S1F"
396.942260395736,"AF321S0W"
396.942269615829,"AF322S0W"
396.928590349853,"AF322S2W"
396.919380314648,"AF323S2F"
396.922759898007,"AF324S0F"
396.924609784037,"AF324S2W"
396.924660075456,"AF325S2W"
396.919820364565,"AF326S3F"
396.927830111235,"AF327S2F"
396.923540253192,"AF328S0W"
396.926570311189,"AF328S1F"
396.917330101132,"AF329S0F"
396.926779858768,"AF330S0W"
396.9282399863,"AF331S1W"
396.930160280317,"AF332S2F"
396.925879642367,"AF333S2F"
396.921719703823,"AF334S0W"
396.921220142394,"AF337S0W"
396.927010361105,"AF340S0F"
